id,area,layer,feature,source,user_story,expected_behavior,edge_cases,status,test_ref,notes
ING-1,governance/ingest,product,ingest_change orchestration (diff -> scan -> store -> chain),governance/ingest.py:ingest_change (lines 78-117),"As an org security lead, I want a single entry point that takes a code diff plus its attribution and runs the full governance pipeline so that every AI- or human-authored change is scanned, recorded, and entered into the audit trail in one atomic, auditable step.","ingest_change(store, chain, org, repo, diff, attribution, sha=None) -> dict orchestrates the whole pipeline. It (0) validates the tenant up front via _tenant_key(org) (ingest.py:96) - a blank/whitespace/zero-width or |-containing org raises ValueError before any diff parsing or store/chain write; (1) calls parse_diff(diff) to get per-file added lines; (2) runs scan_lines(path, added) for each file, accumulating a list[Finding]; (3) builds a human summary string f'{len(files)} file(s) changed; {len(findings)} finding(s)'; (4) persists the change via store.add_change(org, repo, sha, attribution.author, attribution.agent, summary) to get change_id; (5) writes each finding via store.add_finding(change_id, org, repo, f.as_row()); (6) backfills the finding count via store.set_change_findings(org, change_id, len(findings)) - an org-scoped UPDATE ... WHERE id=? AND org=?, so a cross-tenant update matches 0 rows; (7) appends a tamper-evident entry to chain.append(org, payload) where payload carries change_id, repo, sha, author, agent, the list of changed file paths, and a redacted findings list whose entries have keys exactly {check, severity, file, line} (the payload key is 'check', not 'check_id') - no raw snippet or secret fragment reaches the ledger (proven by test_chain_payload_carries_redacted_findings_no_snippet). Returns {change_id, findings, n_findings, chain_seq, files} where chain_seq is the per-org sequence number from the chain entry.","Empty/no-op diff: parse_diff returns [], no scan runs, findings=[], n_findings=0, but a change row and a chain entry are STILL created (summary '0 file(s) changed; 0 finding(s)') - so even a clean change is recorded in the audit trail. || Clean change with files but zero findings: set_change_findings(change_id, 0) is still called and a chain entry with an empty findings list is appended, proving the change was scanned and passed. || sha=None (uncommitted/pre-commit ingest): the change and chain payload record sha as null; ingest still succeeds because sha is optional and only used as a reference field. || Invalid org (empty, invisible-only, or containing |): ValueError from _tenant_key before any store or chain write.",GREEN,tests/test_governance_ingest.py (incl. test_chain_payload_carries_redacted_findings_no_snippet),"Orchestration is intentionally thin: it delegates parsing, scanning, persistence, and chaining to dedicated modules (parse_diff, safety.engine.scan_lines, GovernanceStore, GovernanceChain). The chain entry deliberately omits snippets because redaction happens upstream in the engine."
ING-2,governance/ingest,product,parse_diff - extract added lines with real new-file line numbers,governance/ingest.py:parse_diff (lines 41-75),"As a developer, I want only the lines my change actually adds to be scanned, each tagged with its true line number in the new file, so that safety findings point me at the exact line I introduced rather than at diff offsets or unrelated context.","parse_diff(diff: str) -> list[tuple[str, list[tuple[int, str]]]] walks a unified diff line by line and returns one tuple per file: (file_path, [(new_line_number, added_text), ...]). It tracks the current file from '+++ ' headers, stripping a leading 'b/' prefix; resets new_lineno from each '@@' hunk header by regex-matching the new-side start (r'\+(\d+)'); records each '+' added line (excluding the '+++' header) as (new_lineno, raw[1:]) and increments new_lineno; advances new_lineno on context lines (those starting with a single space); and does NOT advance the new-side counter on '-' removed lines. Only added lines are captured (that is what the change introduces); removed and context lines are not scanned.","New-file deletions ('+++ /dev/null'): cur_file is set to None for that target, so a fully deleted file contributes no scannable added lines. || Multiple hunks in one file: each '@@' header re-seeds new_lineno from its own new-side start, so line numbers stay correct across non-contiguous hunks within the same file. || Malformed/absent '@@' new-side number: the regex falls back to new_lineno=0 (m is None -> 0), so added lines in a header-less or malformed hunk are still captured but numbered from 0 rather than crashing.",GREEN,tests/test_governance_ingest.py,"The single-space context branch ('elif raw.startswith("" "")') is what keeps line numbers honest across context regions; removed lines are explicitly a no-op on the counter (lines 67-68)."
ING-3,governance/ingest,product,infer_attribution - detect authoring agent from commit trailers,"governance/ingest.py:infer_attribution (lines 33-38), _AGENT_TRAILERS (lines 25-30), Attribution (lines 19-22)","As a compliance officer, I want the system to automatically identify which AI agent (or a human) authored a change from its commit-message trailers so that the audit trail attributes every change without relying on engineers to self-report.","infer_attribution(commit_message: str, author: str = 'unknown') -> Attribution scans the commit message against the _AGENT_TRAILERS table of case-insensitive regexes and returns Attribution(author=author, agent=<matched agent>). Recognized trailers: 'Co-Authored-By: Claude' -> agent='claude'; 'Co-Authored-By: ChatGPT|GPT|OpenAI' -> 'gpt'; 'Co-Authored-By: [GitHub ]Copilot' -> 'copilot'; 'Co-Authored-By: Cursor' -> 'cursor'. If no trailer matches, it defaults to Attribution(author, agent='human'). Attribution is a dataclass with author (default 'unknown') and agent (default 'unknown') fields; this attribution feeds directly into ingest_change via attribution.author and attribution.agent.","None or empty commit_message: guarded by `commit_message or ''`, so a None message does not raise and yields agent='human'. || Dict iteration order determines precedence: a message containing BOTH a Claude and a GPT trailer returns the first match in _AGENT_TRAILERS order ('claude' before 'gpt'), not a multi-agent result. || Unknown agent (e.g. 'Co-Authored-By: Gemini'): no pattern matches, so it is classified as 'human' - a new agent vendor silently collapses into the human bucket until its trailer pattern is added.",GREEN,tests/test_governance_ingest.py,"Attribution can also be supplied directly by the caller (an org's CI knows who ran), per the module docstring; infer_attribution is the fallback path when only a commit message is available."
ING-4,governance/ingest,product,Agent-agnostic treatment (claude/gpt/cursor/copilot/human identical),"governance/ingest.py module docstring (lines 1-8) + ingest_change (lines 78-117); attribution is recorded metadata, never a control branch","As an auditor/regulator, I want every change scanned by the same grounded safety checks regardless of whether Claude, GPT, Cursor, Copilot, or a human produced it, so that no authoring source gets a weaker (or harsher) review and the governance bar is provably uniform.","Agent-agnosticism is structural, not a feature flag: ingest_change operates on the diff *output* and an attribution string, and there is NO branch anywhere in the pipeline that varies parsing, scanning, storage, or chaining by attribution.agent. parse_diff -> scan_lines -> store.add_change/add_finding -> chain.append run identically for every value of agent. The agent value is carried purely as recorded metadata: store.add_change(..., attribution.agent, ...) writes it to the changes row and chain.append embeds 'agent' in the tamper-evident payload. The same code path applies whether agent is 'claude', 'gpt', 'copilot', 'cursor', 'human', or any other/unknown string.","agent='unknown' (Attribution defaults) or any unrecognized vendor string: treated exactly like a recognized agent - full scan, full store, full chain entry; the unknown label is simply recorded, never used to skip or escalate checks. || Human-authored change (agent='human'): receives the identical scan and audit treatment as any AI agent - the layer governs humans and agents on the same path. || Same diff ingested twice under different agents: produces identical findings (scan depends only on file path + added lines), differing solely in the recorded agent/author metadata and the new change_id/chain_seq.",GREEN,tests/test_governance_ingest.py,"This is the 'agnostic backbone' claim from the docstring: by parsing the diff rather than hooking a specific tool, the layer works for any AI agent or human producer without per-vendor integration."
ING-5,governance/ingest,product,Multi-tenant org + repo isolation,"governance/ingest.py:ingest_change (org/repo threaded into store.add_change line 94, store.add_finding line 96, chain.append line 101); chain.py:append (lines 31-38) using store.chain_head(org)","As a platform operator, I want each organization's changes, findings, and audit chain kept isolated by org (and tagged by repo) so that one tenant can never read, pollute, or break another tenant's governance records on shared infrastructure.","Every persistence and audit call in ingest_change is scoped by org and tagged by repo. store.add_change(org, repo, sha, ...) writes the org and repo onto the changes row; store.add_finding(change_id, org, repo, finding) carries org+repo onto each finding row; and chain.append(org, payload) appends to a PER-ORG hash chain - chain.append derives its head via store.chain_head(org), increments that org's own seq, and links to that org's own prev_hash (GENESIS for a new org). The returned chain_seq is therefore the sequence number within the org's chain, independent of other orgs. repo is recorded inside the change row, finding rows, and the chain payload, giving per-repo tagging within a tenant.","First change for a brand-new org: store.chain_head(org) yields seq 0 / no prev, so chain.append links to GENESIS and returns chain_seq=1 - each org's chain starts fresh and independently. || Concurrent ingests across two different orgs: each appends to its own org-scoped chain head, so their sequence numbers and prev_hash links never interleave or collide. || Same repo name under two different orgs (e.g. both have 'api'): isolation is by org, so identical repo strings in different tenants remain separate records and separate chains - repo alone is not a tenant boundary.",GREEN,tests/test_governance_ingest.py,"Isolation hinges on org being the chain partition key (chain_head(org)/append_chain(org,...)); repo is a secondary tag, not an isolation boundary. ingest_change itself does not enforce that the caller-supplied org is authorized - that authorization is expected upstream (e.g. webhook/CLI token), consistent with this layer being the thin orchestrator."
SAF-1,governance/safety,product,Two-signal detect->verify gate (scan_lines),governance/safety/engine.py:scan_lines (lines 56-72),"As an org security lead, I want every flagged line to clear two independent signals before it becomes a finding so that my team triages real risks instead of drowning in regex false positives from any AI agent's diff.","scan_lines(file: str, added_lines: list[tuple[int, str]]) -> list[Finding] iterates each (lineno, text) pair against every Check in CHECKS. For each check it runs signal 1, chk.detect.search(text); if no match it continues (detect absent). On a match it runs signal 2, chk.verify(text, m); if verify returns False the candidate is dropped (verify refutes). Only when BOTH detect fires AND verify confirms does it construct a Finding and append it. verify is an independent second signal that does not share detect's failure mode (e.g. _verify_secret refutes env-var reads and placeholders, _verify_sql refutes parameterized/constant queries, _verify_xss refutes constant-literal assignments). A line can yield multiple findings (one per passing check). Each Finding sets verified=True.","A line matches a check's detect but verify refutes it (e.g. password = os.environ['PW'] hits the secret detector but _verify_secret sees the _ENV_REF and returns False) -> no finding emitted. || A single added line trips several checks (e.g. an http:// URL built from an interpolated user variable) -> scan_lines appends one Finding per check whose detect+verify both pass. || An empty added_lines list or lines where no detect fires -> returns an empty list (no findings), not an error.",GREEN,tests/test_governance_checks.py,
SAF-2,governance/safety,product,"Grounding cite() enforcement (no source, no finding)",governance/safety/grounding.py:cite (lines 83-89); enforced at governance/safety/engine.py:scan_lines line 66,"As an auditor/regulator, I want every safety finding to carry a citation to an authoritative framework (OWASP/CWE/GDPR) so that I can trace each flagged risk to a named, versioned standard rather than an opaque tool opinion.","Before a Finding is built, scan_lines calls cite(chk.framework). cite(framework_id: str) -> dict looks up framework_id in the GROUNDING registry; if absent it raises KeyError('ungrounded check references unknown framework ...'), so an ungrounded check cannot produce a finding (no source, no finding). On a hit it returns {'framework': g['name'], 'framework_url': g['url'], 'clause': framework_id}. scan_lines copies these into the Finding's framework, framework_url, and clause fields, so every emitted finding carries the authoritative source name, canonical URL, and the framework id as the clause. GROUNDING entries also carry version and last_verified stamps (a later release gate re-fetches the URLs to defeat citation theater).",A check is added with a framework id not registered in GROUNDING -> cite() raises KeyError at scan time and the scan fails loudly rather than silently emitting an uncited finding. || Two distinct checks share one framework id (e.g. secret-hardcoded and private-key-hardcoded both cite 'cwe-798') -> cite() returns the same source dict for both; findings differ by check_id but share framework/framework_url/clause. || A GROUNDING url goes stale between releases -> the last_verified stamp / re-fetch gate is the intended detector; cite() itself still returns the (now-stale) registered url.,GREEN,tests/test_governance_checks.py,
SAF-3,governance/safety,product,Secret redaction before storage,"governance/safety/engine.py:redact (lines 26-29), invoked in scan_lines line 70","As a compliance officer, I want any secret captured in a flagged code snippet to be redacted before it is stored or reported so that the audit trail itself never becomes a place credentials leak.","redact(text: str) -> str runs a multi-stage pipeline (engine.py:20-74). Stage 1, _REDACT_TOKEN: known vendor token shapes - AWS AKIA keys, OpenAI sk- keys, Slack xox[baprs]- tokens, GitHub gh[pousr]_/github_pat_ tokens, GitLab glpat- tokens, Google AIza keys, and JWTs (eyJ...eyJ...) - are substituted with the literal '<REDACTED-SECRET>'. Stage 2, _REDACT_ASSIGN: key=value / key: value assignments where the key CONTAINS a secret-ish substring (api_key/secret/token/password/passwd/access_key/client_secret/cred/auth/...) have the quoted value replaced with '<REDACTED>' - substring matching, so non-allowlisted names like my_custom_cred and gitlab_token ARE masked. Stage 3, _REDACT_EMBEDDED: embedded credential forms - URL basic-auth (user:pw@host), secret-bearing query params, bearer tokens, and DB password flags - are masked in place. Stage 4, _REDACT_ENTROPY: a bounded entropy fallback masks quoted high-entropy mixed-class literals of 20+ chars that no earlier pass caught. scan_lines applies redact(text.strip())[:300] to the snippet stored on every Finding, so redaction runs before truncation. The principle: a security scanner that prints the secret it caught is the bug.","A snippet contains a recognized token shape AND an assignment (e.g. api_key = 'ghp_realtoken...') -> both the vendor pass and the assignment pass fire. || A secret assigned to a non-allowlisted key name (e.g. my_custom_cred = '...') IS masked via the secret-ish substring match, and a bare unprefixed 20+ char secret is caught by the entropy fallback (test_entropy_redaction_masks_unprefixed_secret); genuinely unrecognized short or low-entropy formats may still slip past the entropy gate - best-effort, documented in SECURITY-HARDENING.md. || A very long line with the secret beyond character 300 -> after redaction the snippet is truncated to 300 chars; redaction runs before truncation so an early secret is still masked (multiple secret classes on one line all masked: test_redaction_masks_multiple_secret_classes_on_one_line).",GREEN,tests/test_governance_checks.py,
SAF-4,governance/safety,product,Severity classification,"governance/safety/engine.py:Finding.severity (line 37) populated in scan_lines line 68 from chk.severity (checks.py:Check.severity, line 173)","As a developer, I want each finding tagged with a severity (CRITICAL/HIGH/MEDIUM/LOW) so that I can fix blocking issues first and not be forced to treat every flag as equally urgent.","Severity is a per-check constant declared on the Check (Check.severity: str, one of CRITICAL | HIGH | MEDIUM | LOW). scan_lines copies chk.severity verbatim into Finding.severity at construction (line 68). Examples from the registry: secret-hardcoded and private-key-hardcoded are CRITICAL; sql-injection, xss-unescaped, path-traversal, ssrf, insecure-deserialization are HIGH; pii-in-code, weak-crypto, cleartext-transmission, floating-action-tag are MEDIUM. Severity is deterministic per check id, not computed from the matched text. Finding.as_row() -> dict includes the 'severity' key so the value flows into the stored row / report / dashboard.","The same code line trips two checks of different severity (e.g. a CRITICAL hardcoded-secret and a MEDIUM cleartext-http on one line) -> two findings emit, each carrying its own check's severity; there is no merge into a single max-severity record. || Severity is fixed at the check level, so an objectively low-risk instance of a HIGH-severity check (e.g. SQL interpolation in a test fixture) still reports HIGH; nuance is handled by verify gating presence, not by downgrading severity. || A new check added without a severity value -> Check is a dataclass with severity as a required field, so construction fails fast rather than emitting an unlabeled finding.",GREEN,tests/test_governance_checks.py,
SAF-5,governance/safety,product,Per-finding fix hints,"governance/safety/engine.py:Finding.fix_hint (line 44) populated in scan_lines line 71 from chk.fix_hint (checks.py:Check.fix_hint, line 177)","As a developer, I want each finding to come with a concrete remediation hint so that I can resolve the flagged issue without leaving the report to go research the fix.","fix_hint is a per-check remediation string declared on the Check (Check.fix_hint: str). scan_lines passes chk.fix_hint into the Finding's fix_hint field (line 71). Each hint is specific and actionable to the check, e.g. secret-hardcoded: 'Move the secret to an environment variable / secret manager; rotate it if it was committed.'; sql-injection: 'Use parameterized queries (?, %s, :name) - never interpolate user input into SQL.'; path-traversal: 'Confine to a base dir (resolve + check prefix); use secure_filename / os.path.basename.'; private-key-hardcoded: 'Remove the key from source and ROTATE it immediately; load from a secret manager.' The hint is the same for every instance of a given check (keyed by check id), independent of the matched line.","Finding.fix_hint defaults to '' on the dataclass; every registry Check supplies a non-empty fix_hint, so in practice findings always carry guidance, but a future check omitting it would surface a blank hint rather than an error. || fix_hint is NOT included in Finding.as_row() (as_row exposes check_id/category/severity/file/line/snippet/framework/framework_url/clause/verified) -> consumers that need the hint must read it off the Finding object directly, not from the stored row dict. || The hint is generic-to-the-check, so for a hardcoded-secret finding it always says to rotate 'if committed' even when the redacted snippet can't confirm whether a real (vs placeholder) secret was committed; the verify gate, not the hint, decides whether the finding fires.",GREEN,tests/test_governance_checks.py,
